id_comanda,id_mesa,id_pagamento,id_funcionario,valor_total
9864,64,4499,676,99.85
2674,83,1193,694,30.94
6179,72,7897,512,147.42
3628,99,8940,201,174.79
580,20,2898,200,146.36
5612,32,4616,607,23.03
8200,33,1967,243,170.43
163,30,9916,314,139.49
5230,44,9455,504,16.5
8085,85,3845,605,162.81
9539,21,2037,361,131.2
2520,41,1919,523,167.86
3383,88,5445,534,52.22
6351,58,5434,264,22.56
1074,5,3161,878,19.12
5887,31,2632,92,129.21
8594,99,491,846,197.96
8236,18,4502,736,151.13
7862,82,6568,583,183.91
3703,34,9720,757,112.56
350,64,1750,901,28.86
1122,56,2509,137,191.75
5921,84,3544,869,49.55
3302,20,1238,343,188.14
7890,4,3315,657,66.38
5431,49,4665,50,178.59
8219,12,8469,182,141.22
2510,31,2481,244,18.79
1755,92,8159,32,75.78
6763,94,6691,137,154.14
7794,75,1266,320,88.76
7936,64,3562,817,119.57
8038,19,2499,506,90.22
7298,18,4955,898,157.32
2892,30,7940,236,115.89
9530,62,8261,639,143.3
7007,52,4053,149,172.39
4450,46,581,746,18.33
5552,36,4265,328,144.07
2820,59,5376,111,160.33
7901,66,1673,967,78.18
2905,28,6184,821,149.27
3047,94,857,626,31.87
1294,67,3444,673,136.46
1362,84,9556,181,96.77
287,16,543,203,189.05
2635,80,6710,856,103.68
9803,29,1844,32,113.67
5857,84,3822,868,105.96
5168,7,3542,449,180.48
7443,81,5126,469,117.47
5338,58,866,964,144.0
817,27,1582,77,168.72
1967,40,2227,358,15.76
6531,15,7738,301,182.62
3500,66,9361,90,55.5
7707,36,677,883,197.28
432,51,575,824,44.45
6250,51,2650,86,97.54
7321,85,2388,57,145.13
9502,21,1357,732,148.55
4043,7,4749,274,167.82
5099,3,4698,136,182.39
700,65,2880,806,104.48
3617,32,2947,869,181.5
6365,63,7569,399,93.23
9900,9,5401,474,177.37
9058,84,4434,758,114.85
1261,98,2104,590,146.75
8892,9,5991,178,160.67
5165,5,8722,583,123.73
60,16,1897,301,123.07
3489,14,5928,824,159.72
5898,80,9959,414,172.45
