id_estoque,ingrediente,quantidade,unidade
6654,Mel,28.5,L
3990,Canela,60.88,L
2019,Açúcar,72.61,g
3166,Chocolate,50.88,g
7752,Leite,53.67,ml
3975,Canela,71.8,L
9639,Mel,70.04,L
265,Chocolate,82.87,kg
4176,Açúcar,46.59,g
4223,Chocolate,52.19,kg
2968,Farinha,11.68,L
5222,Açúcar,25.72,L
7991,Chocolate,93.55,g
6413,Leite,69.86,L
2272,Canela,59.9,kg
4279,Farinha,49.96,g
3415,Mel,40.54,g
7786,Açúcar,80.05,L
2621,Leite,54.81,g
1448,Chocolate,11.56,g
9326,Açúcar,43.82,ml
7448,Açúcar,36.76,g
3463,Chocolate,79.06,g
1775,Farinha,65.89,g
7195,Leite,56.26,g
5721,Canela,55.42,L
8374,Farinha,33.24,L
1524,Farinha,44.91,L
233,Leite,57.68,L
4803,Leite,22.08,kg
691,Café,66.94,ml
8739,Farinha,39.41,ml
2072,Mel,98.92,kg
5384,Chocolate,40.3,ml
2474,Açúcar,61.81,kg
878,Açúcar,89.72,g
2286,Mel,10.96,ml
4251,Açúcar,72.04,ml
9821,Farinha,57.91,kg
3791,Farinha,99.56,L
4402,Açúcar,8.03,ml
4423,Farinha,57.54,kg
8680,Açúcar,64.74,g
8030,Café,55.48,kg
9850,Café,68.71,g
1807,Mel,42.02,kg
8180,Leite,32.96,L
5024,Café,51.57,g
287,Café,40.04,L
9130,Açúcar,72.83,ml
2559,Leite,17.88,L
2130,Açúcar,10.72,g
35,Chocolate,49.46,L
2588,Leite,3.74,kg
8987,Mel,39.06,kg
6083,Café,6.52,g
8193,Mel,41.12,ml
2737,Café,7.04,ml
7402,Açúcar,38.92,g
6757,Chocolate,40.16,kg
5138,Leite,28.45,kg
9711,Canela,46.23,L
4954,Café,22.81,g
1805,Farinha,12.14,L
7460,Mel,9.03,kg
4933,Mel,11.62,kg
1125,Farinha,70.74,kg
4796,Leite,89.37,g
1109,Açúcar,88.09,g
1262,Leite,67.8,kg
1157,Canela,58.24,g
9845,Café,74.21,g
60,Farinha,97.59,ml
7330,Farinha,35.66,ml
4644,Café,19.33,ml
3825,Açúcar,79.51,ml
8842,Chocolate,8.79,kg
7181,Leite,31.03,ml
6036,Leite,40.7,kg
3264,Café,79.78,kg
8517,Café,82.03,L
85,Chocolate,15.2,kg
6847,Leite,36.13,ml
1196,Chocolate,2.97,L
6825,Farinha,37.04,kg
6734,Chocolate,95.15,kg
532,Farinha,95.88,g
809,Café,22.15,g
6627,Café,43.84,kg
5303,Açúcar,8.27,L
8943,Açúcar,46.89,L
8918,Mel,31.51,kg
6119,Canela,95.02,g
8658,Café,59.43,L
2526,Leite,44.59,g
8376,Leite,35.3,ml
4650,Leite,78.49,kg
973,Canela,11.19,ml
9835,Chocolate,57.19,ml
7126,Canela,20.88,kg
6293,Açúcar,61.09,L
7566,Mel,37.47,kg
1383,Açúcar,35.7,g
3433,Açúcar,49.19,kg
1073,Café,41.04,ml
92,Mel,16.85,g
8336,Farinha,29.14,g
5955,Café,87.14,L
3939,Mel,8.35,g
4264,Leite,76.91,g
15,Canela,58.41,g
9619,Leite,72.22,ml
8940,Açúcar,32.62,kg
9311,Canela,40.85,kg
654,Canela,93.21,ml
