id_item_cardapio,id_estoque,quantidade,unidade
62,9182,14,kg
12,3226,1,kg
92,7634,12,ml
89,5912,10,kg
46,2751,14,g
54,6147,7,kg
20,1789,3,ml
76,2913,15,g
13,7191,15,ml
77,7330,3,g
17,7703,10,g
77,3244,15,ml
33,5439,12,g
11,2410,20,g
60,6997,6,ml
10,9517,12,ml
35,3823,9,L
84,1838,7,L
76,7129,2,kg
54,9188,8,ml
55,319,13,ml
51,4379,17,g
10,1803,15,kg
62,7260,1,ml
51,3749,10,kg
95,2852,6,kg
32,4569,9,L
30,554,3,ml
41,1811,8,kg
43,2836,11,L
18,2388,1,ml
75,6687,20,ml
31,3785,2,g
40,4887,1,g
29,5409,14,kg
15,4376,13,L
67,8135,15,kg
29,1515,9,g
20,7181,18,ml
32,7168,3,ml
3,5412,13,L
71,8320,3,kg
78,4222,3,g
29,1729,16,ml
75,1002,2,g
84,2378,13,ml
20,6903,2,L
62,7939,18,ml
2,2651,17,g
81,9833,11,g
61,3225,18,ml
82,5337,7,L
98,5531,13,kg
19,2642,13,ml
35,7517,9,L
90,3563,3,L
83,8129,14,g
3,3689,1,L
83,8665,10,g
64,4474,13,kg
41,6706,19,g
8,8689,9,g
64,1245,11,ml
1,9079,14,L
7,7742,5,g
15,8885,14,g
54,4410,7,g
67,8626,12,kg
33,9920,16,L
92,3525,3,g
95,3166,3,ml
99,8,7,kg
90,9122,13,L
39,5267,4,ml
71,5129,17,kg
96,8047,5,ml
47,1761,1,L
51,964,5,ml
20,9128,19,g
46,254,6,ml
26,1013,9,g
18,925,19,ml
55,364,1,ml
91,6718,15,g
28,9485,7,kg
48,3785,7,ml
68,5349,3,g
64,9998,3,kg
52,9319,19,L
1,5382,18,L
94,8750,16,kg
62,3575,4,L
10,9079,4,L
82,7872,15,ml
13,991,7,kg
24,2694,3,g
75,779,16,kg
79,2662,13,kg
70,8366,3,ml
67,7379,10,g
45,5293,20,g
74,2498,2,ml
36,7360,17,g
78,801,12,L
1,2929,8,g
