id_pedido,id_comanda,id_cardapio,status,data_hora_pedido,quantidade
9055,1348,94,True,2021-10-04 22:53:40,10
2779,7863,68,False,2022-11-11 14:50:39,7
8310,7925,73,False,2022-10-22 20:41:43,4
4993,9533,70,False,2023-03-23 05:04:37,4
449,2945,67,True,2022-08-28 17:14:12,7
2541,5422,93,False,2021-08-20 01:22:43,4
9557,2514,49,False,2022-08-10 16:50:12,6
8223,9989,38,True,2022-07-13 04:52:07,8
3030,8345,72,True,2023-05-25 11:18:55,4
4926,4081,46,False,2024-05-27 20:28:09,1
5510,9806,50,False,2021-11-09 08:37:36,5
709,2258,46,False,2024-04-30 03:30:09,3
8304,1709,8,False,2023-12-12 09:14:42,3
8554,8299,42,True,2023-07-12 02:21:43,4
3544,8831,85,False,2022-05-21 09:16:23,6
9207,5868,53,False,2023-10-14 13:05:01,10
1423,9668,2,True,2023-09-01 18:33:28,8
27,1788,10,False,2024-04-16 03:08:30,9
2535,9305,25,False,2021-07-04 06:56:52,1
1406,4562,100,True,2021-12-06 23:31:54,9
7643,296,61,False,2023-06-08 18:29:06,1
4204,5701,61,True,2023-01-21 17:08:47,8
1671,4662,33,True,2023-03-26 17:44:02,5
8940,5737,52,True,2023-01-06 16:01:42,1
1579,5083,59,False,2022-09-21 19:20:39,4
4506,89,74,True,2023-03-07 05:48:20,7
9231,2117,88,True,2021-08-30 02:56:00,9
6591,1452,39,False,2022-05-06 09:29:05,6
3411,9947,97,True,2023-09-07 21:57:54,10
4260,1337,65,True,2023-06-04 07:51:19,4
5260,2862,87,True,2021-06-28 12:16:50,8
7627,2499,57,True,2022-10-01 19:26:42,1
4864,4578,25,False,2023-04-19 13:31:53,10
4909,5404,87,True,2024-06-12 02:56:19,7
2566,4876,42,False,2023-08-17 19:06:12,6
2759,3824,83,True,2022-12-22 13:03:54,9
1481,1445,5,False,2024-06-01 04:44:50,3
6894,1852,92,False,2021-07-25 10:16:49,4
1876,189,36,True,2023-07-01 23:05:10,10
5135,3706,7,False,2023-02-23 18:03:14,2
9155,3800,65,True,2022-07-19 02:03:48,5
2473,72,26,True,2024-01-09 15:35:08,5
9,179,10,False,2024-04-01 23:27:33,9
7402,9698,29,True,2021-10-15 00:02:16,9
9434,9834,20,False,2022-01-12 17:31:33,4
7563,2101,90,True,2021-12-30 03:12:59,7
1020,7106,52,False,2022-01-05 06:09:15,4
8843,1150,85,True,2023-06-20 14:21:44,1
9164,5847,28,False,2022-10-07 14:49:27,10
3904,5719,67,True,2022-12-17 10:27:15,10
2936,7791,15,True,2024-01-15 08:04:07,1
7448,7452,28,False,2023-05-26 19:11:26,1
7618,5535,86,False,2024-01-02 14:59:41,2
3562,2144,20,True,2024-06-11 01:39:25,3
6283,1806,21,True,2021-09-18 11:55:21,2
5378,4011,28,False,2023-06-10 05:32:39,9
4977,9981,63,True,2022-02-14 01:42:40,2
197,4086,7,True,2021-08-07 22:31:34,4
2290,8566,91,True,2023-01-20 03:02:29,5
494,3395,25,True,2022-03-04 00:03:09,10
8943,8911,93,True,2024-03-28 13:53:59,7
4785,3425,10,False,2022-09-22 18:04:55,2
4199,4389,55,False,2021-11-25 06:30:53,4
2508,938,24,True,2023-07-01 07:46:31,6
4368,3470,38,False,2023-10-22 09:37:52,2
8001,4238,31,False,2024-01-29 09:20:04,1
7962,341,76,False,2023-04-12 03:50:09,10
9941,3516,30,True,2023-11-06 19:58:03,6
1264,1960,31,True,2022-06-03 13:11:37,3
1041,6452,89,True,2022-03-27 23:15:03,5
9687,2001,19,True,2021-07-07 12:43:53,8
2618,5741,3,True,2024-02-26 14:31:37,9
1268,2710,48,False,2024-03-13 04:17:15,3
120,560,88,False,2023-11-17 06:35:41,1
8426,5765,59,True,2023-02-14 17:34:36,2
3436,928,58,True,2024-02-12 03:06:10,4
1430,1000,67,False,2022-04-06 14:49:26,2
1335,2652,28,True,2022-09-19 22:38:53,3
8970,5042,26,False,2023-03-23 08:29:39,10
259,5534,77,True,2022-12-12 07:31:49,7
3870,413,31,True,2024-04-26 00:29:49,1
8600,1344,63,False,2023-05-05 17:24:02,2
127,4983,88,False,2021-08-31 20:26:40,2
9379,8936,88,False,2022-11-17 23:08:02,5
3106,17,71,False,2024-06-07 22:10:31,9
7016,8155,16,False,2023-06-22 18:43:11,4
9760,8141,58,False,2023-09-09 01:35:17,6
189,5687,14,False,2023-11-17 19:49:42,3
6570,8329,56,False,2022-09-19 21:34:43,4
4511,3921,83,False,2022-10-26 12:02:10,3
2197,8734,67,True,2023-04-25 05:22:58,6
9700,7528,60,True,2021-07-25 21:40:48,5
4115,1092,91,False,2024-02-15 08:54:43,6
5740,6829,94,False,2022-03-15 06:41:39,2
6340,7097,9,False,2022-08-30 21:27:35,7
1437,2391,11,False,2021-08-07 08:43:59,3
1915,3066,53,True,2022-03-28 13:44:55,10
2387,5872,26,False,2022-07-02 02:39:46,6
2309,5628,4,True,2022-02-24 15:38:33,5
9062,9112,1,False,2024-05-08 19:46:26,7
2338,4547,15,False,2024-04-01 15:16:22,9
877,9396,38,False,2023-08-05 09:37:13,5
2798,8633,46,False,2021-08-13 17:58:53,3
4661,9084,37,True,2021-09-08 06:10:09,10
8133,3995,56,False,2022-04-24 13:09:56,2
7153,1286,35,True,2023-02-11 11:32:46,3
7434,5314,49,True,2024-04-09 00:49:27,10
35,7383,81,False,2021-10-17 12:10:24,5
2599,6030,54,False,2022-02-01 00:11:40,4
6083,8064,26,True,2023-12-10 03:01:40,5
7566,7298,77,True,2023-01-02 11:50:30,5
8890,1999,80,True,2023-12-25 00:17:43,4
9768,8673,94,True,2024-02-04 06:07:46,3
4788,5393,11,False,2024-01-31 17:37:15,8
4893,3430,11,True,2022-04-27 20:31:51,3
4876,8647,4,False,2023-06-05 22:41:29,3
8789,7245,59,False,2024-06-09 04:44:22,10
7603,6296,89,True,2023-10-11 03:56:48,2
850,2516,79,False,2023-09-12 04:02:05,3
299,4186,14,False,2023-06-03 20:41:39,6
768,3268,24,False,2022-05-22 10:18:03,1
1251,8515,9,False,2023-10-21 21:31:46,8
4213,892,16,False,2023-12-20 21:25:07,6
9869,1010,56,False,2023-05-03 23:26:19,3
8784,3465,34,True,2022-03-04 15:00:28,1
6649,2111,26,True,2022-12-29 11:06:24,1
8479,6292,3,False,2022-12-23 01:50:22,4
5380,5251,16,True,2024-03-30 05:54:50,5
1355,1839,19,True,2023-07-09 13:26:53,1
7893,3980,13,True,2022-02-19 15:47:54,3
728,5048,65,False,2023-12-13 00:52:21,4
5766,2471,21,True,2023-12-20 23:01:10,8
25,7985,28,True,2023-12-02 10:37:10,7
1203,6567,94,False,2023-06-25 22:01:38,5
1508,3972,63,False,2023-02-08 05:33:45,6
